"","All","X2","X3","X4","X5"
"domain","-1","-1","-1","-1","-1"
"Fungi","3524","881","881","881","881"
"3","","","","",""
"phylum","-1","-1","-1","-1","-1"
"Fungi.Ascomycota","216","85","3","58","70"
"Fungi.Basidiomycota","2378","520","615","636","607"
"Fungi.Chytridiomycota","96","12","49","26","9"
"Fungi.Glomeromycota","475","153","113","112","97"
"Fungi.Zygomycota","359","111","101","49","98"
"10","","","","",""
"class","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes","216","85","3","58","70"
"Fungi.Basidiomycota.Agaricomycetes","1374","189","380","490","315"
"Fungi.Basidiomycota.Agaricostilbomycetes","87","33","18","8","28"
"Fungi.Basidiomycota.Basidiomycota_unidentified","555","187","129","82","157"
"Fungi.Basidiomycota.Tremellomycetes","194","35","39","38","82"
"Fungi.Basidiomycota.unclassified","168","76","49","18","25"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified","96","12","49","26","9"
"Fungi.Glomeromycota.Glomeromycetes","475","153","113","112","97"
"Fungi.Zygomycota.Incertae_sedis_10","359","111","101","49","98"
"21","","","","",""
"order","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified","216","85","3","58","70"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales","180","63","43","37","37"
"Fungi.Basidiomycota.Agaricomycetes.Boletales","932","76","264","397","195"
"Fungi.Basidiomycota.Agaricomycetes.unclassified","262","50","73","56","83"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales","87","33","18","8","28"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1","555","187","129","82","157"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales","194","35","39","38","82"
"Fungi.Basidiomycota.unclassified.unclassified","168","76","49","18","25"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1","96","12","49","26","9"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales","475","153","113","112","97"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales","359","111","101","49","98"
"34","","","","",""
"family","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified.Sordariomycetes_unidentified_1","216","85","3","58","70"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales.Atheliaceae","180","63","43","37","37"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.Boletaceae","261","63","35","92","71"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.unclassified","671","13","229","305","124"
"Fungi.Basidiomycota.Agaricomycetes.unclassified.unclassified","262","50","73","56","83"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales.Chionosphaeraceae","87","33","18","8","28"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1.Basidiomycota_unidentified_1","555","187","129","82","157"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales.Trichosporonaceae","194","35","39","38","82"
"Fungi.Basidiomycota.unclassified.unclassified.unclassified","168","76","49","18","25"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1.Chytridiomycota_unidentified_1","96","12","49","26","9"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales.Glomeraceae","475","153","113","112","97"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales.Mycocladaceae","359","111","101","49","98"
