"","All","X2","X3","X4","X5"
"domain","-1","-1","-1","-1","-1"
"Fungi","1","1","1","1","1"
"3","","","","",""
"phylum","-1","-1","-1","-1","-1"
"Fungi.Ascomycota","0.0588235294117647","0","0.147058823529412","0","0.0882352941176471"
"Fungi.Basidiomycota","0.5","0.294117647058824","0.705882352941177","0.323529411764706","0.676470588235294"
"Fungi.Chytridiomycota","0.0955882352941176","0.235294117647059","0.147058823529412","0","0"
"Fungi.Glomeromycota","0.25","0.411764705882353","0","0.588235294117647","0"
"Fungi.Zygomycota","0.0955882352941176","0.0588235294117647","0","0.0882352941176471","0.235294117647059"
"10","","","","",""
"class","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes","0.0588235294117647","0","0.147058823529412","0","0.0882352941176471"
"Fungi.Basidiomycota.Agaricomycetes","0.198529411764706","0.117647058823529","0.470588235294118","0","0.205882352941176"
"Fungi.Basidiomycota.Agaricostilbomycetes","0.0220588235294118","0","0","0","0.0882352941176471"
"Fungi.Basidiomycota.Basidiomycota_unidentified","0.205882352941176","0.0882352941176471","0.176470588235294","0.294117647058824","0.264705882352941"
"Fungi.Basidiomycota.Tremellomycetes","0.0441176470588235","0.0588235294117647","0","0","0.117647058823529"
"Fungi.Basidiomycota.unclassified","0.0294117647058824","0.0294117647058824","0.0588235294117647","0.0294117647058824","0"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified","0.0955882352941176","0.235294117647059","0.147058823529412","0","0"
"Fungi.Glomeromycota.Glomeromycetes","0.25","0.411764705882353","0","0.588235294117647","0"
"Fungi.Zygomycota.Incertae_sedis_10","0.0955882352941176","0.0588235294117647","0","0.0882352941176471","0.235294117647059"
"21","","","","",""
"order","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified","0.0588235294117647","0","0.147058823529412","0","0.0882352941176471"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales","0.0514705882352941","0.117647058823529","0","0","0.0882352941176471"
"Fungi.Basidiomycota.Agaricomycetes.Boletales","0.117647058823529","0","0.470588235294118","0","0"
"Fungi.Basidiomycota.Agaricomycetes.unclassified","0.0294117647058824","0","0","0","0.117647058823529"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales","0.0220588235294118","0","0","0","0.0882352941176471"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1","0.205882352941176","0.0882352941176471","0.176470588235294","0.294117647058824","0.264705882352941"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales","0.0441176470588235","0.0588235294117647","0","0","0.117647058823529"
"Fungi.Basidiomycota.unclassified.unclassified","0.0294117647058824","0.0294117647058824","0.0588235294117647","0.0294117647058824","0"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1","0.0955882352941176","0.235294117647059","0.147058823529412","0","0"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales","0.25","0.411764705882353","0","0.588235294117647","0"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales","0.0955882352941176","0.0588235294117647","0","0.0882352941176471","0.235294117647059"
"34","","","","",""
"family","-1","-1","-1","-1","-1"
"Fungi.Ascomycota.Sordariomycetes.Sordariomycetes_unidentified.Sordariomycetes_unidentified_1","0.0588235294117647","0","0.147058823529412","0","0.0882352941176471"
"Fungi.Basidiomycota.Agaricomycetes.Atheliales.Atheliaceae","0.0514705882352941","0.117647058823529","0","0","0.0882352941176471"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.Boletaceae","0.0147058823529412","0","0.0588235294117647","0","0"
"Fungi.Basidiomycota.Agaricomycetes.Boletales.unclassified","0.102941176470588","0","0.411764705882353","0","0"
"Fungi.Basidiomycota.Agaricomycetes.unclassified.unclassified","0.0294117647058824","0","0","0","0.117647058823529"
"Fungi.Basidiomycota.Agaricostilbomycetes.Agaricostilbales.Chionosphaeraceae","0.0220588235294118","0","0","0","0.0882352941176471"
"Fungi.Basidiomycota.Basidiomycota_unidentified.Basidiomycota_unidentified_1.Basidiomycota_unidentified_1","0.205882352941176","0.0882352941176471","0.176470588235294","0.294117647058824","0.264705882352941"
"Fungi.Basidiomycota.Tremellomycetes.Trichosporonales.Trichosporonaceae","0.0441176470588235","0.0588235294117647","0","0","0.117647058823529"
"Fungi.Basidiomycota.unclassified.unclassified.unclassified","0.0294117647058824","0.0294117647058824","0.0588235294117647","0.0294117647058824","0"
"Fungi.Chytridiomycota.Chytridiomycota_unidentified.Chytridiomycota_unidentified_1.Chytridiomycota_unidentified_1","0.0955882352941176","0.235294117647059","0.147058823529412","0","0"
"Fungi.Glomeromycota.Glomeromycetes.Glomerales.Glomeraceae","0.25","0.411764705882353","0","0.588235294117647","0"
"Fungi.Zygomycota.Incertae_sedis_10.Mucorales.Mycocladaceae","0.0955882352941176","0.0588235294117647","0","0.0882352941176471","0.235294117647059"
