"","Factor","Alpha.Index","pearson.r","pearson.p","kendall.r","kendall.p","spearman.r","spearman.p"
"1","pH","shannon",-0.85880229168128,0.14119770831872,-0.666666666666667,0.333333333333333,-0.8,0.333333333333333
"2","pH","simpson",-0.899625361581639,0.100374638418361,-0.666666666666667,0.333333333333333,-0.8,0.333333333333333
"3","pH","invsimpson",-0.706341083735762,0.293658916264238,-0.666666666666667,0.333333333333333,-0.8,0.333333333333333
"4","pH","S.obs",-0.817808169526042,0.182191830473958,-0.666666666666667,0.333333333333333,-0.8,0.333333333333333
"5","pH","S.chao1",-0.714285714285714,0.285714285714285,-0.666666666666667,0.333333333333333,-0.8,0.333333333333333
"6","pH","S.ACE",-0.319691803882868,0.680308196117132,-0.333333333333333,0.75,-0.4,0.75
"7","temp","shannon",0.456856090580678,0.543143909419322,0.333333333333333,0.75,0.6,0.416666666666667
"8","temp","simpson",0.434767565613339,0.565232434386661,0.333333333333333,0.75,0.6,0.416666666666667
"9","temp","invsimpson",0.483593731734317,0.516406268265683,0.333333333333333,0.75,0.6,0.416666666666667
"10","temp","S.obs",0.490222797468441,0.509777202531559,0.333333333333333,0.75,0.6,0.416666666666667
"11","temp","S.chao1",0.543033744302805,0.456966255697195,0.333333333333333,0.75,0.6,0.416666666666667
"12","temp","S.ACE",0.699562204503,0.300437795497,0.666666666666667,0.333333333333333,0.8,0.333333333333333
"13","DO","shannon",0.938368821175615,0.0616311788243844,1,0.0833333333333333,1,0.0833333333333333
"14","DO","simpson",0.94202070908054,0.0579792909194596,1,0.0833333333333333,1,0.0833333333333333
"15","DO","invsimpson",0.869689453402572,0.130310546597428,1,0.0833333333333333,1,0.0833333333333333
"16","DO","S.obs",0.93750061247994,0.0624993875200603,1,0.0833333333333333,1,0.0833333333333333
"17","DO","S.chao1",0.911368195157705,0.0886318048422952,1,0.0833333333333333,1,0.0833333333333333
"18","DO","S.ACE",0.757601118627246,0.242398881372754,0.666666666666667,0.333333333333333,0.8,0.333333333333333
